## Estado actual del proyecto — Marketing DEPA IA

Actualizado: 2026-07-27
Último foco: saldar deuda técnica acumulada (cold-start Ollama, URLs de clips, CI/CD).

---

### Cronología reciente

#### 2026-07-27 — Deuda técnica saldada: Ollama, clips y CI/CD

| Entrega | Detalle |
| **Tests** | `tests/test_revise_run.py` (15 tests, incluye fallo de regeneración que devuelve el run a `pending_approval`) |

#### 2026-07-25 — Doctrina inbound + caja de modificaciones (UI stub)

| Entrega | Detalle |
|---------|---------|
| **Knowledge inbound** | `agents/marketing_agents/knowledge/inbound_marketing.py` — Atraer→Convertir→Cerrar→Deleitar; pirámide **Entretener→Informacion→Conexion**; fuentes HubSpot/Cyberclick/Postedin/EUDE/NothingAD/RD Station |
| **Inyección en prompts** | `inbound_system_addendum` en Strategist, Copywriter y VideoScriptAgent (todos los formatos heredan el marco) |
| **UI revisión** | Textarea + **Solicitar cambios** en Resultado e Historial `pending_approval` (`App.jsx`); stub local en ese momento — cableado end-to-end el 2026-07-26 |
| **Tests** | `tests/test_inbound_knowledge.py` (+ pipeline) verdes |

#### 2026-07-22 — Imagen: sin mock silencioso + metáforas IoT

| Entrega | Detalle |
|---------|---------|
| **fal/SD** | Fallos levantan `RuntimeError(image_gen_failed:...)` en lugar de Pillow mock disfrazado de éxito |
| **Metáforas** | IoT/cámaras/seguridad priorizan escena de vigilancia/analytics (antes diluía el match genérico `"ia" in tema`) |
| **Verificación** | fal.ai Flux responde OK con el prompt actual; mocks previos con SD = A1111 apagado en `:7860` |

#### 2026-07-16..19 — Shotstack estable (Reels) + fal CDN + Meta OAuth

| Entrega | Detalle |
|---------|---------|
| **Payload Shotstack** | Overlays = clips `TitleAsset`; `output.resolution=1080` + `aspectRatio=9:16` (sin `custom`/`size`) |
| **URLs** | `_publicize_edit` reescribe localhost→ngrok; **fondos/voz fal** van a Shotstack como `fal.media` (run 36 render OK ~200s) |
| **Voz** | `VOICE_PROVIDER=fal` (Kokoro Spanish); Celery `video_render` con tasks registradas + timeout 20 min |
| **Meta publish** | Fallo recurrente `GraphMethodException` subcode 33: token OAuth sin `instagram_basic`/`instagram_content_publish` — reautorizar desde Integraciones; redirect URI debe ser **URL completa** `/api/auth/callback/meta` |
| **ngrok** | Plan Free rota dominio si no se usa `--url=...`; actualizar `.env` + Meta Developers al cambiar |

#### 2026-07-23 — Diagnóstico: texto genérico en imágenes (LLM → stub)

| Hallazgo | Detalle |
|----------|---------|
| **Síntoma** | El texto de overlay en las imágenes salía genérico (plantillas), no ideado a partir de los parámetros del brief |
| **Causa raíz** | Los agentes caían al `_stub()` determinista. `get_llm()` (`llm.py:98`) devuelve un `OllamaLLM` **aunque Ollama esté apagado**; cada llamada lanza excepción → `strategist`/`copywriter` la atrapan → stub → texto de plantilla |
| **Capa 2 (cold-start)** | Aun con Ollama encendido, la **primera** llamada carga el modelo (~4.9 GB) y supera el timeout httpx de 180s (`llm.py:35`) → `strategist.llm_error='timed out'` → stub. El `mensaje_base` genérico del stub se propaga al subline de la imagen |
| **Verificación** | Con el modelo **caliente**, el estratega responde en ~21s y genera texto específico y creativo usando los parámetros del brief (público, tono, objetivo). Config `.env` correcta (`OLLAMA_MODEL=llama3.1`) — no había mismatch de modelo |
| **Agravante** | Ollama descarga el modelo tras ~5 min inactivo → el cold-start (y el timeout) **reaparece** en la primera generación tras inactividad o reinicio |
| **Mitigación operativa** | Mantener `ollama serve` corriendo y el modelo pre-cargado/caliente antes de generar. Requisito real, no opcional: sin LLM vivo y caliente, el copy sale genérico sin error visible al usuario |
| **Fix de código propuesto (no aplicado)** | En `llm.py`: agregar `keep_alive` al payload de Ollama (evita descarga entre llamadas/runs) + subir el timeout de cold-start (~300s). Pendiente de decisión |

#### 2026-07-16 — Fix render Shotstack + voz fal (Reels) [detalle técnico]

| Entrega | Detalle |
|---------|---------|
| **Payload Shotstack** | `to_shotstack_edit()` ya no emite `title_asset` (inválido → HTTP 400). Overlays = clips `TitleAsset` en pista superior; media abajo; captions encima |
| **URLs públicas** | `video_providers._publicize_edit` reescribe `localhost` → `PUBLIC_IMAGE_BASE_URL` (ngrok) en clips + soundtrack **antes** del POST a Shotstack |
| **Errores visibles** | submit/poll incluyen el body JSON de Shotstack en el log (`body=...`) |
| **Voz en .env** | `VOICE_PROVIDER=fal` + Kokoro Spanish (reusa `FAL_API_KEY`); `SHOTSTACK_ENV=stage` con key sandbox |
| **Layouts PIL** | fondos de CTA/texto ajustados con `textbbox` / `multiline_textbbox` (sin distorsión) |
| **UI** | spinner de carga en sync/async y upload de imagen base |
| **Tests** | timeline/clips/providers actualizados → 24 tests de video verdes |

#### 2026-07-05 — Reel con clips del usuario (Fase E)

| Entrega | Detalle |
|---------|---------|
| **OAuth Google Drive** | `drive_source.py` — listar/descargar clips de una carpeta privada (`drive.readonly`), filename sanitizado + prefijado por id |
| **Transcripción** | `transcription_providers.py` — Whisper (`whisper-1`, timestamps por palabra), chunking >25MB con offset-correction |
| **Selección de segmentos** | `clip_assets.py` + `clip_editor.py` — `ClipEditorAgent` hook-scored, banda 6-60s, stub determinístico si falla LLM |
| **Orquestación** | `clip_reel_designer.py` — Drive → transcripción → selección → efecto opcional (fal wan-effects) → Timeline (video + captions) → render Shotstack |
| **Timeline** | `video_timeline.py` extendido: `Scene.asset_type`/`trim_in`/`trim_out`, `captions` track, narración condicional (solo escenas de imagen) |
| **API/BD** | `content_format=user_clip_reel`, `drive_folder_id` obligatorio (422 si falta o si se usa `/runs/sync`); sin migración (columna `String(16)` ya soporta) |
| **Go publisher** | Branch REELS ampliado a `user_clip_reel` (mismo timeout 300s que `reel`) |
| **Frontend** | Opción "Video con mis clips (Drive)" + input de `drive_folder_id` condicional |
| **Tests** | +46 tests de clips/drive/transcripción/editor/reel-designer/contratos → **114 passing** |

Commits (orden cronológico): `f8c820e` … `81670ba` (11 commits en local, incluye fix de trim post-efecto).

#### 2026-07-03 — Imagen + higiene documental

| Entrega | Detalle |
|---------|---------|
| **Design-as-Code (Fase C)** | `POST /api/briefs/upload-asset`, foto como capa base + overlay Pillow; img2img fal opcional con HITL |
| **LinkedIn nativo** | OAuth + publicación con imagen vía Go (Upload-Post eliminado del código y docs) |
| **Docs** | `estado-actual.txt`, README, `.env.example`, CLAUDE.md alineados a publicación 100% nativa |
| **Higiene técnica** | Upload-Post ✅ limpio; Prometheus ✅ compatible (FastAPI 0.115 + instrumentator 7.x); Skaffold/Cloud Deploy ⬜ pendiente |

Commit de referencia: `40904e2` — `feat(design): foto de usuario como capa base (Design-as-Code con Pillow) + img2img gobernado con HITL`

#### 2026-07-04 — Video-as-Code / Reels (Fase D)

| Entrega | Detalle |
|---------|---------|
| **Contrato Timeline** | `video_timeline.py` — JSON provider-neutral + `to_shotstack_edit()` |
| **Voz** | `voice_providers.py` — ElevenLabs / OpenAI TTS / mock (español; fal TTS añadido después, ver 2026-07-16) |
| **Render** | `video_providers.py` — Shotstack block-and-poll + mock → `static/videos/` (publicize URLs: ver 2026-07-16) |
| **Agentes** | `video_script.py`, `video_designer.py` — guion 3-5 escenas, fal stills + Ken Burns |
| **Pipeline** | `content_format=reel` — rama paralela post copy/QA; async-only |
| **Infra async** | Cola Celery `video_render`, `execute_video_pipeline_task` (sin autoretry) |
| **API/BD** | `GeneratedAsset.video_url`, migración Alembic `0005`; reel → 422 en `/runs/sync` |
| **Go publisher** | Rama `media_type=REELS` + timeout contenedor 300s |
| **Frontend** | Selector reel + preview `<video>` en dashboard |
| **Tests** | +7 archivos de video → **68 passing** |

Commits (orden cronológico): `e49564c` … `e01c5d5` (9 commits en local).

---

### Qué es el proyecto

MVP de automatización de marketing con agentes de IA:

```
brief → estrategia → copy con QA → diseño (imagen o reel) → aprobación humana → publicación en redes
```

Flujo principal de publicación: **Meta / Instagram Business** y **LinkedIn** vía sidecar Go (OAuth nativo).

---

### Arquitectura operativa

```
Frontend (React/Vite :5173)
        ↓
Gateway FastAPI (:8000)  ←→  PostgreSQL + Redis (Docker)
        ↓
Celery worker (default) + worker `video_render` (solo Reels) + APScheduler
        ↓
Pipeline Python (agents/marketing_agents/)
        ↓
Go sidecar social-publisher (:8088) → Meta Graph API / LinkedIn UGC API
```

| Capa | Tecnología | Estado |
|------|------------|--------|
| API | FastAPI + Alembic | ✅ Operativo |
| Agentes | LangGraph (Copy/QA) + pipeline lineal | ✅ Operativo |
| LLM | Ollama / Anthropic / OpenAI + stub mock | ✅ Configurable vía `.env` |
| Imágenes | **fal.ai (Flux Pro)**, SD (A1111), DALL·E, mock | ✅ fal como principal en dev |
| Imágenes usuario | Design-as-Code (Pillow) + fal img2img opcional | ✅ Operativo |
| Social | Meta/IG, LinkedIn nativo, mock + Go | ✅ OAuth multi-cuenta (N por proveedor) + LinkedIn |
| Async | Celery + Redis | ✅ Operativo |
| Scheduler | APScheduler + `POST /api/campaigns/{id}/fire` | ✅ Prueba de fuego completada |
| Human-in-the-loop | `pending_approval` → approve/reject/revise | ✅ Activo (revise regenera con notas) |
| Infra | Docker Compose (Postgres/Redis), k8s base | ✅ Dev listo; k8s esqueleto |
| Métricas | Prometheus | ✅ Compatible (FastAPI 0.115 + instrumentator 7.x); off en dev por defecto |
| Video (Reels) | Shotstack (`stage`/`v1`) + fal TTS (Kokoro) / ElevenLabs / OpenAI | ✅ Operativo (async-only; payload overlays + publicize URLs) |
| Reel con clips del usuario | Drive OAuth + Whisper + `ClipEditorAgent` + Shotstack | ✅ Operativo (async-only, requiere `ffmpeg` en el host) |

---

### Pipeline de agentes

```
Strategist → LangGraph [Copywriter ↔ QA] → Designer (feed/story)
                                      └→ VideoScript → VideoDesigner (reel)
                                      → Publisher (opcional)
```

**Módulos en** `agents/marketing_agents/`:

| Archivo | Rol |
|---------|-----|
| `strategist.py` | Tipo de post, hook, mensaje base, hashtags |
| `copywriter.py` | Copy + `headline_for_image` / `subline_for_image` |
| `graph_copy_qa.py` + `quality.py` | Bucle QA con trazabilidad (`copy_qa_trace`) |
| `designer.py` | Arquetipo + generación Flux **o** foto usuario + composición |
| `layout_archetypes.py` | Selección y prompts por arquetipo |
| `design_layouts.py` | Overlays PIL (poster, minimal, infográfico, hero) |
| `image_providers.py` | fal / SD / DALL·E / mock + overlay post-generación + img2img |
| `user_assets.py` | Carga, fit (cover crop) y guardado de fotos del usuario |
| `image_specs.py` | Dimensiones por red social y formato |
| `overlay_text.py` | Tipografía, wrap y truncado en oración |
| `publisher.py` | Publicación vía proveedor social |

---

### Motor visual — fal.ai + diseño editorial (Fase B)

**Proveedor recomendado:** `IMAGE_PROVIDER=fal` con `FAL_API_KEY` y `FAL_MODEL=fal-ai/flux-pro/v1.1`

Flujo en diseño **sin foto de usuario**:

1. `pick_archetype(brief, strategy)` elige layout (o `archetype_override` vía API)
2. `build_flux_prompt()` genera prompt visual sin texto embebido
3. fal.ai genera fondo con dimensiones por plataforma/formato
4. `apply_design_layout()` aplica composición editorial con Pillow

**4 arquetipos:**

| ID | Label | Cuándo se elige |
|----|-------|-----------------|
| `typographic_poster` | Poster tipográfico | promocional / ventas |
| `minimal_conceptual` | Conceptual minimal | informativo |
| `editorial_infographic` | Infográfico editorial | educativo / branding |
| `cinematic_hero` | Hero cinematográfico | storytelling / entretenimiento |

**Dimensiones** (`image_specs.py`):

- Instagram / Facebook feed: **1080×1350 (4:5)**
- Story / reels: **1080×1920 (9:16)**
- LinkedIn feed: 1200×627
- X/Twitter feed: 1200×675
- fal escala proporcionalmente si alguna dimensión > 1440px (stories → ~810×1440)

**Frontend:** selector feed/story/reel, switch fal ↔ Stable Diffusion, dropdown de arquetipo, upload de foto, toggle img2img, muestra `layout_label`, `design_source` y preview de video en reels.

ComfyUI descartado (GPU 4 GB insuficiente). Stable Diffusion local conservado como alternativa.

---

### Foto del usuario — Design-as-Code + img2img gobernado (Fase C)

Dos modos al subir una imagen desde el dashboard:

| Modo | Toggle | Comportamiento | `design_source` |
|------|--------|----------------|-------------------|
| **No destructivo** | OFF | Foto intacta como capa base → fit al formato → overlay Pillow | `user_overlay` |
| **Alteración IA** | ON + prompt | fal img2img (`FAL_IMG2IMG_MODEL`) → overlay Pillow → `pending_approval` | `user_img2img` |
| **Sin foto** | — | Flujo clásico txt2img fal/SD | `generated` |

**Flujo técnico:**

1. `POST /api/briefs/upload-asset` → guarda JPEG/PNG/WebP (máx. 10 MB) en `static/uploads/`
2. `RunRequest` incluye `user_asset_url`, `alter_image_with_ai`, `visual_instructions`
3. `DesignerAgent` bifurca: `compose_from_user_asset()` vs `generate_image()`
4. Resultado final en `static/images/` (`user_overlay_*` o `user_img2img_*`)

**Variables img2img:**

```env
FAL_IMG2IMG_MODEL=fal-ai/flux/dev/image-to-image
FAL_IMG2IMG_STRENGTH=0.72
```

**Pendiente a mediano plazo:** inserción en plantillas Canva/Figma vía MCP (no implementado).

---

### Video as Code — Reels programáticos (Fase D)

**Trigger:** el mismo campo `content_format` que ya existía (`"feed"` / `"story"`) ahora acepta `"reel"`. No hay campo nuevo, no hay migración de `AgentRun`.

**Pipeline (rama paralela a imagen, mismo brief→estrategia→copy/QA):**

```
Strategist → Copywriter/QA → VideoScriptAgent (guion 3-5 escenas)
        → VideoDesignerAgent:
              escenas: fal.ai still (1080×1920) + Ken Burns
              voz: fal.ai Kokoro Spanish (principal en dev) / ElevenLabs / OpenAI TTS (banda 15-30s)
              → Timeline (JSON provider-neutral) → render_video() (Shotstack block-and-poll)
                 · overlays = clips TitleAsset (pista superior); media abajo
                 · src localhost → PUBLIC_IMAGE_BASE_URL antes del submit
        → HITL (pending_approval, igual que imagen)
        → Go sidecar (media_type=REELS, video_url) → Meta Graph API
```

**Módulos en** `agents/marketing_agents/`:

| Archivo | Rol |
|---------|-----|
| `video_script.py` | `VideoScriptAgent` — guion 3-5 escenas + hook + CTA, banda 15-30s por conteo de palabras |
| `video_timeline.py` | Contrato Pydantic `Timeline`/`Scene`/`VoiceoverTrack` + `to_shotstack_edit()` (pistas captions→títulos→media; sin `title_asset`) |
| `voice_providers.py` | `synthesize_voice()` — fal TTS (principal en `.env` de dev) / ElevenLabs / OpenAI / mock; español por defecto |
| `video_providers.py` | `render_video()` — Shotstack (publicize URLs → submit → poll → descarga MP4) / mock; body de error HTTP en logs |
| `video_designer.py` | `VideoDesignerAgent` — orquesta escenas + voz + timeline + render, devuelve `VideoDesignOutput` |

**Dimensiones:** 1080×1920 (9:16), 30 fps, MP4 — mismo spec 9:16 que stories (`resolve_image_spec` acepta `"reel"`).

**Async-only:** `content_format="reel"` se rechaza con `422` en `POST /runs/sync`; solo corre vía `POST /runs/async`, en una cola Celery dedicada `video_render` (renders tardan minutos, no deben competir con la cola de imágenes). Requiere levantar un **segundo worker**:

```bash
python -m celery -A workers.celery_app.celery_app worker -l info -Q video_render
```

La tarea (`execute_video_pipeline_task`) usa el `celery.Task` base plano — **sin** `autoretry_for` — para no re-renderizar video ante fallos transitorios (costo + duplicados). Timeout ~20 min vía `task_annotations` en `celery_app.py`.

**Persistencia:** `GeneratedAsset.video_url` (columna nullable, migración Alembic `0005`); `result["design"]` sigue siendo la misma clave para imagen y reel (`video_url` seteado + `image_url` `None` en reels).

**Variables `.env` (ver `.env.example`, sección PASO 3D):**

```env
VIDEO_PROVIDER=shotstack
SHOTSTACK_API_KEY=...          # sandbox → SHOTSTACK_ENV=stage (watermark); prod → v1
SHOTSTACK_ENV=stage
VIDEO_MAX_WAIT_SECONDS=600
VIDEO_FPS=30
VOICE_PROVIDER=fal             # reusa FAL_API_KEY
VOICE_LANGUAGE=es
FAL_TTS_MODEL=fal-ai/kokoro/spanish
FAL_TTS_VOICE=ef_dora
PUBLIC_IMAGE_BASE_URL=https://TU-NGROK   # Meta + assets locales; reel fal → Shotstack vía fal.media
```

**Pendiente v2 (no implementado, fuera de alcance v1):**

1. **TikTok** — fase 2 documentada (Login Kit + Content Posting en Go; requiere auditoría de app). v1 solo Instagram Reels.
2. **Música de fondo** — v1 solo usa voz en off; sin pista musical ni mezcla de audio.

**Nota:** "clips de video del usuario" ya no es pendiente — implementado en Fase E (`content_format=user_clip_reel`, ver sección siguiente).

---

### Reel con clips del usuario (Fase E)

**Trigger:** nuevo valor de `content_format`: `"user_clip_reel"` (async-only, igual que `"reel"`). Requiere `drive_folder_id` en el request (422 si falta o si se usa `/runs/sync`).

**Pipeline (rama hermana de `reel`, mismo brief→estrategia→copy/QA):**

```
Strategist → Copywriter/QA → ClipReelDesigner:
    drive_source.list_and_download_clips(drive_folder_id)  [OAuth Google, drive.readonly]
        → transcription_providers.transcribe_clips()        [ffmpeg extrae audio → Whisper word-ts]
        → ClipEditorAgent.run()                              [selección hook-scored, banda 6-60s]
        → [fal.ai wan-effects opcional sobre el segmento hook, EFFECTS_ENABLED]
        → Timeline (Scene asset_type="video" + captions) → render_video() (Shotstack)
    → HITL (pending_approval, igual que imagen/reel)
    → Go sidecar (media_type=REELS, mismo branch que "reel") → Meta Graph API
```

**Módulos nuevos en** `agents/marketing_agents/`:

| Archivo | Rol |
|---------|-----|
| `drive_source.py` | OAuth Google Drive (`auth_social.py` provider `"google"`) — listar/descargar clips de una carpeta; filename sanitizado (`Path(...).name`) + prefijado por id (evita path traversal y sobrescritura por duplicados) |
| `transcription_providers.py` | `transcribe_clips()` — Whisper (`whisper-1`, timestamps por palabra) vía `subprocess`(ffmpeg) + chunking >25MB con offset-correction; `mock` para tests |
| `clip_assets.py` | `clip_public_url()` — mapea path local de clip descargado a URL servida (mismo patrón que `user_assets.py`) |
| `clip_editor.py` | `ClipEditorAgent` — LLM (JSON de segmentos) con fallback determinístico a stub; heurísticas de hook (brevedad, pregunta/número/revelación, ritmo); banda de duración total 6-60s (`_MIN_CLIP_S`/`_MAX_CLIP_S`), nunca la banda 15-30s de `reel` |
| `clip_reel_designer.py` | `ClipReelDesigner` — orquesta drive → transcripción → selección → efecto opcional → `Timeline` → render; **importante:** si el efecto wan reemplaza el video del segmento hook, `trim_in`/`trim_out` se resetean a `0`/`duration_s` (el output del efecto YA es el segmento recortado, no el clip fuente completo) |

**`video_timeline.py` extendido:** `Scene.asset_type: Literal["image","video"]="image"`, `Scene.trim_in`/`trim_out` (solo aplica a `"video"`), nueva clase `Caption` y `Timeline.captions` (pista overlay de títulos en `to_shotstack_edit`, encima de media); la validación de narración (`headline`/`subline` obligatorios) ahora solo exige texto en escenas `"image"` — las de `"video"` no la requieren. Los textos de overlay son clips `asset.type=title` (estilo Shotstack `minimal`/`subtitle`), no una propiedad `title_asset`.

**Variables `.env` nuevas (ver `.env.example`):**

```env
STT_PROVIDER=whisper
EFFECTS_ENABLED=false
FAL_EFFECTS_MODEL=fal-ai/wan-effects
GOOGLE_CLIENT_ID=...
GOOGLE_CLIENT_SECRET=...
GOOGLE_REDIRECT_URI=http://localhost:8000/api/auth/callback/google
```

**Dependencia de sistema NUEVA:** `ffmpeg` debe estar instalado y en el `PATH` (usado vía `subprocess` para extraer audio antes de transcribir). No es necesario para `feed`/`story`/`reel` generado.

**URLs públicas:** `video_providers._publicize_edit` reescribe `localhost` → `PUBLIC_IMAGE_BASE_URL` en el JSON enviado a Shotstack (clips + soundtrack). `clip_assets.py` sigue generando URLs locales; si `EFFECTS_ENABLED=true`, fal.ai wan-effects aún necesita ngrok activo a mitad de pipeline. La publicación Meta también normaliza en `_publish_via_go`.

**Google OAuth:** el scope `drive.readonly` puede requerir verificación manual de la app por parte de Google para usuarios externos a tu organización (proceso de días/semanas). En dev, agregar el email como "test user" en la pantalla de consentimiento OAuth (modo "Testing") evita el trámite.

**Captions:** se generan **por segmento** (un cue de subtítulo por segmento seleccionado), no por palabra — granularidad más fina queda para v2.

---

### API principal

Rutas en `gateway/app/api/routes.py`:

- `GET /health`, `/health/background`
- `GET /image/providers` — proveedores de imagen disponibles
- `GET /image/archetypes` — lista de arquetipos para override manual
- `GET /social/publish-status`
- `POST /api/briefs/upload-asset` — subida de foto del usuario
- `POST/GET /briefs`
- `POST /runs/sync`, `/runs/async` — aceptan `image_provider`, `content_format` (`feed`/`story`/`reel`/`user_clip_reel`), `archetype_override`, `user_asset_url`, `alter_image_with_ai`, `visual_instructions`, `drive_folder_id`, `social_account_id` (cuenta destino; NULL = legacy); `content_format=reel|user_clip_reel` solo vía `/runs/async` (422 en `/sync`)
- `GET /runs`, `/runs/{id}`
- `POST /runs/{id}/approve`, `/reject`
- `POST /runs/{id}/revise` — regenera la pieza de un run `pending_approval` con `notes` del revisor (409 si no está pendiente). Feed/story inline; `reel`/`user_clip_reel` se encolan en `video_render` (respuesta `queued`). Nunca publica: vuelve a `pending_approval`
- `POST/GET /campaigns`, `POST /campaigns/{id}/fire`
- OAuth Meta / LinkedIn / Google (`gateway/app/api/auth_social.py`)
- `GET /api/auth/status` — proveedores conectados (sin tokens)
- `GET /api/auth/accounts` — lista multi-cuenta (`id`, `provider`, `account_id`, `account_name`, `profile_picture_url`)
- `DELETE /api/auth/accounts/{id}` — desconexión lógica (`is_active=False`)

**Persistencia:** briefs, runs (`status`, `content_format`, `social_account_id`, aprobación, `run_params_json`/`revision_*`), assets generados, campañas programadas, `oauth_tokens` multi-cuenta (migración `0007`).

**Estáticos:** `static/uploads/` (fotos originales), `static/images/` (composiciones), `static/videos/` (MP4 renderizados).

---

### Publicación en redes (estable)

#### Instagram / Meta

- OAuth Meta con fallback granular de scopes
- Estado `publishing` para evitar doble publicación
- Go publisher en `:8088`
- `PUBLIC_IMAGE_BASE_URL` con ngrok obligatorio para que Meta acceda a las imágenes
- Anti-duplicados por error 9007 (container no `FINISHED`)
- **Reels** (`content_format="reel"`): rama `media_type=REELS` + `video_url` en `PublishMeta`; timeout de contenedor ampliado a 300s (vs 60s en imagen/story) porque Meta procesa video mucho más lento

#### LinkedIn (nativo)

- OAuth: `/api/auth/login/linkedin` → callback → tokens en `oauth_tokens`
- Scopes: `openid profile w_member_social`; URN vía `/v2/userinfo`
- Publicación con imagen: `registerUpload` → PUT binario → `ugcPosts`
- Sidecar Go (`internal/publisher/linkedin.go`) + fallback Python en `social_providers.py`

---

### Tests (160 passing — suite completa verificada 2026-07-27)

| Archivo | Qué cubre |
|---------|-----------|
| `test_pipeline.py` | Pipeline sync/async con mock |
| `test_graph_copy_qa.py` | Reintentos Copy/QA |
| `test_scheduler.py` | Campañas → `pending_approval` |
| `test_layout_archetypes.py` | Specs 4:5, fal scaling, arquetipos, prompts |
| `test_design_layouts.py` | Composición PIL: 4 layouts, fallback, dimensiones |
| `test_user_assets.py` | Fit de foto usuario + overlay sin fal |
| `test_linkedin_native.py` | Flujo LinkedIn con imagen (mock) |
| `test_video_timeline.py` | Contrato `Timeline`/`Scene`, `to_shotstack_edit()` (overlays TitleAsset), clamp de duración |
| `test_voice_providers.py` | `synthesize_voice` (mock/ElevenLabs/OpenAI/fal, default español) |
| `test_video_providers.py` | `render_video` (mock/Shotstack poll, publicize URLs, body de error 400) |
| `test_video_designer.py` | `VideoDesignerAgent.run` end-to-end mockeado |
| `test_video_pipeline.py` | `MarketingPipeline.run(content_format="reel")` end-to-end + regresión feed |
| `test_runs_api.py` | Reel 422 en `/sync`, ruteo async a cola `video_render` |
| `test_pipeline_service_video.py` | `_media_url` y persistencia de `video_url` |
| `test_drive_source.py` | OAuth Google Drive: listar/descargar, sanitización de nombre, duplicados |
| `test_transcription_providers.py` | Whisper mockeado, chunking >25MB con offset-correction |
| `test_clip_editor.py` / `test_clip_assets.py` | `ClipEditorAgent` hook-scored banda 6-60s, stub determinístico, `clip_public_url` |
| `test_clip_reel_designer.py` | `ClipReelDesigner` end-to-end mockeado, wan-effects éxito/degradación, reset de trim tras efecto, captions multi-segmento |
| `test_contracts_user_clip_reel.py` | `RunRequest` con `drive_folder_id` obligatorio, límite de columna `content_format` |
| `test_video_timeline_clips.py` | Overlays TitleAsset + clips video/captions (sin `title_asset`) |
